"unique_storm_number","sub_storms","suspended_sediment_mg_L","chloride_mg_L","no2_no3_n_mg_L","ammonium_n_mg_L","tkn_unfiltered_mg_L","orthophosphate_mg_L","total_phosphorus_unfiltered_mg_L","total_nitrogen_computed_mg_L","organic_nitrogen_computed_mg_L","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","suspended_sediment_flag","chloride_flag","no2_no3_flag","ammonium_n_flag","tkn_unfiltered_flag","orthophosphate_flag","total_phosphorus_unfiltered_flag","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
25,"MI-FM1-22a,MI-FM1-22b,MI-FM1-22c,MI-FM1-22d",7.27471000610513,4.08123776341551,0.244467484895055,0.271375023683712,1.02292283320351,0.0619178017304899,0.120525452095745,1.28478137302373,0.729018862760784,90.3,48.4,2.91,3.22,12.14,0.7,1.43,15.03,8.91,190004,"<, NA, NA, <","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA","NA, NA, NA, NA",2015-03-11 03:30:00,2015-03-16 04:10:00,2015-03-09 13:30:00,2015-03-17 07:30:00,2.08,190004,1
26,"MI-FM1-23",187,46.6,61.9,1.71,2.47,0.11,0.481,64.4,0.8,398.1,99.2,131.79,3.64,5.26,0.23,1.02,137.05,1.62,34104,"NA","NA","NA","NA","NA","NA","NA",2015-06-14 04:05:00,2015-06-14 14:34:00,2015-06-14 08:00:00,2015-06-14 19:15:00,1.63,34104,0
27,"MI-FM1-24",441,15.6,10.2,0.46,2.49,0.1,0.874,12.7,2,13615.3,481.6,314.91,14.2,76.88,3.09,26.98,391.79,62.67,494548,"NA","NA","NA","NA","NA","NA","NA",2015-06-15 16:18:00,2015-06-16 15:44:00,2015-06-15 20:00:00,2015-06-17 18:15:00,10.4,494548,0
28,"MI-FM1-25",358,12,3.9,0.08,2.33,0.07,0.758,6.2,2.3,4080,136.8,44.45,0.91,26.55,0.84,8.64,71,25.64,182554,"NA","NA","NA","NA","NA","NA","NA",2015-06-22 19:30:00,2015-06-23 16:26:00,2015-06-22 23:30:00,2015-06-24 08:45:00,3.68,182554,0
29,"MI-FM1-26",155,4,0.05,0.03,1.44,0.11,0.444,1.5,1.4,215.4,5.6,0.14,0.04,2,0.15,0.62,2.14,1.96,22262,"NA","NA","<","NA","NA","NA","NA",2015-09-08 03:01:00,2015-09-08 08:23:00,2015-09-08 06:45:00,2015-09-08 20:30:00,1.4,22262,0
30,"MI-FM1-27",66,12.2,0.8,0.08,1.72,0.21,0.771,2.5,1.6,3.13,0.6,0.04,0.005,0.08,0.01,0.04,0.12,0.08,761,"NA","NA","NA","NA","NA","NA","NA",2016-02-03 08:36:00,2016-02-03 14:06:00,2016-02-03 07:45:00,2016-02-03 21:00:00,0.05,761,1
31,"MI-FM1-28",36,14.1,1.1,0.02,0.95,0.07,0.19,2.1,0.9,512.7,200.8,15.67,0.28,13.53,1.01,2.71,29.2,13.24,228128,"NA","NA","NA","NA","NA","NA","NA",2016-02-28 16:53:00,2016-02-29 21:34:00,2016-02-28 16:00:00,2016-03-01 08:01:00,3.84,228128,0
32,"MI-FM1-29",24,8.5,0.6,0.03,0.75,0.06,0.169,1.4,0.7,178.93,63.4,4.47,0.22,5.59,0.42,1.26,10.06,5.37,119423,"NA","NA","NA","NA","NA","NA","NA",2016-03-07 17:13:00,2016-03-08 20:36:00,2016-03-07 15:45:00,2016-03-09 07:45:00,1.46,119423,0
33,"MI-FM1-30",189,8,0.05,0.03,1.77,0.06,0.772,1.9,1.7,24.81,1.1,0.01,0.005,0.23,0.01,0.1,0.25,0.23,2103,"NA","NA","<","NA","NA","NA","NA",2016-03-14 00:31:00,2016-03-14 03:31:00,2016-03-13 23:45:00,2016-03-14 10:15:00,0.13,2103,0
34,"MI-FM1-31",107,9.9,0.05,0.04,1.55,0.06,0.534,1.7,1.5,771.85,71.4,0.72,0.29,11.18,0.42,3.85,11.9,10.89,115550,"NA","NA","<","NA","NA","NA","NA",2016-03-24 13:47:00,2016-03-25 12:43:00,2016-03-24 13:30:00,2016-03-25 20:00:00,2.6,115550,0
