"unique_storm_number","sub_storms","suspended_sediment_mg_L","chloride_mg_L","no2_no3_n_mg_L","ammonium_n_mg_L","tkn_unfiltered_mg_L","orthophosphate_mg_L","total_phosphorus_unfiltered_mg_L","total_nitrogen_computed_mg_L","organic_nitrogen_computed_mg_L","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","suspended_sediment_flag","chloride_flag","no2_no3_flag","ammonium_n_flag","tkn_unfiltered_flag","orthophosphate_flag","total_phosphorus_unfiltered_flag","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen","stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","ant_discharge_date","ant_dis_1day_max","ant_dis_2day_mean","ant_dis_2day_max","ant_dis_3day_mean","ant_dis_3day_max","ant_dis_7day_mean","ant_dis_7day_max","ant_dis_14day_mean","ant_dis_14day_max","sin_sdate","cos_sdate","tmax","tmin","snwd_diff","SOIL_Moist_perc","SOIL_Temp_F","days_since_planting","days_since_fertilizer","days_since_cultivation","days_since_disturbance"
41,"MI-FM1-38",116,3.3,0.1,0.11,1.66,0.12,0.473,1.8,1.6,95,2.7,0.08,0.09,1.36,0.1,0.39,1.44,1.27,13114,NA,NA,NA,NA,NA,NA,NA,"2017-01-10 21:52:00","2017-01-11 07:48:00","2017-01-10 18:15:00","2017-01-11 12:00:00",0.72,13114,1,31,"2017-01-10 17:45:00","2017-01-10 21:00:00",0.11,3.25,0.0338461538461538,0.12,0.12,0.12,0.1,0.07,46.0669630885616,0.0460669630885617,55.0196141043489,0.0550196141043489,0,0,0.03,0.72,"2016-12-27 18:15:00",5.36,4.48,5.36,4.25333333333333,5.36,10.7657142857143,36.2,16.5907142857143,68,0.205104499868615,0.978740079966916,8.9,-3.2,-1.181103,30.58064236,30.766675345,30,77,77,10
42,"MI-FM1-1568,MI-FM1-39",355.136232566351,1.98955872586191,0.198955872586191,0.119373523551715,2.65606089902565,0.0895301426637859,0.876400618742171,2.88486015249977,2.58642634362048,2637.2,14.8,1.48,0.89,19.72,0.63,6.51,21.2,18.84,118951,NA,NA,NA,NA,NA,NA,NA,"2017-01-11 20:25:00","2017-01-12 18:01:00","2017-01-11 17:30:00","2017-01-13 10:45:00",3.71,118330,1,32,"2017-01-11 18:00:00","2017-01-12 02:45:00",0.75,8.75,0.0857142857142857,0.84,0.66,0.56,0.42,0.3,460.275339290747,1.93315642502114,506.955645035367,2.12921370914854,0.09,0.11,0.11,0.83,"2016-12-28 17:30:00",26.9,16.13,26.9,11.9533333333333,26.9,9.43714285714286,26.9,16.505,68,0.205104499868615,0.978740079966916,8.9,-8.2,-3.93701,31.90896991,31.6613275466667,30,78,78,10
45,"MI-FM1-40",37,3.8,0.5,0.04,1.03,0.05,0.205,1.5,1,16.3,1.7,0.22,0.02,0.45,0.02,0.09,0.67,0.44,7049,NA,NA,NA,NA,NA,NA,NA,"2017-02-07 22:55:00","2017-02-08 09:03:00","2017-02-07 22:00:00","2017-02-08 14:45:00",0.32,7049,1,33,"2017-02-07 23:00:00","2017-02-07 23:01:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017-01-24 22:00:00",42.1,24.345,42.1,18.65,42.1,13.3971428571429,42.1,20.3128571428571,44.3,0.635432300890176,0.772156584499165,6.7,-6.6,-1.181103,32.75217014,32.090105905,30,105,105,10
46,"MI-FM1-41",44,4.8,0.025,0.01,1.13,0.05,0.254,1.2,1.1,27.5,3,0.03,0.01,0.71,0.03,0.16,0.74,0.7,10016,NA,NA,"<",NA,NA,NA,NA,"2017-02-12 14:11:00","2017-02-13 03:11:00","2017-02-12 12:45:00","2017-02-13 04:15:00",0.26,10016,1,34,"2017-02-12 13:45:00","2017-02-12 13:46:00",0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2017-01-29 12:45:00",32.6,24.4,32.6,24.8333333333333,32.6,32.6557142857143,74.1,21.7128571428571,74.1,0.687052767223664,0.726607524768568,5.6,-4.3,0,33.651822915,31.976475695,30,110,110,10
49,"MI-FM1-42",430,5.7,0.025,0.09,3.02,0.03,0.986,3.1,2.9,1216.3,16.1,0.14,0.25,8.54,0.08,2.79,8.68,8.29,45311,NA,NA,"<",NA,NA,NA,NA,"2017-02-24 22:24:00","2017-02-25 08:13:00","2017-02-24 21:15:00","2017-02-25 14:45:00",2.3,45311,0,35,"2017-02-24 19:30:00","2017-02-24 23:10:00",0.52,3.66666666666667,0.141818181818182,1.08,0.78,0.64,0.36,0.29,343.350014985109,1.23606005394639,368.415687527034,1.32629647509732,0,0,0,0,"2017-02-10 21:15:00",27,20.65,27,18.8666666666667,27,18.2285714285714,27,19.8,32.6,0.831170626365808,0.556017436657044,16.1,-4.3,0,35.48871528,42.838346355,30,122,122,10
50,"MI-FM1-43",181,7.5,0.025,0.03,1.82,0.04,0.576,1.9,1.8,1856.9,76.9,0.51,0.31,18.67,0.37,5.91,19.18,18.36,164331,NA,NA,"<",NA,NA,NA,NA,"2017-03-01 23:00:00","2017-03-02 01:17:00","2017-02-28 23:00:00","2017-03-02 10:00:00",2.51,164331,0,36,"2017-02-28 20:40:00","2017-03-01 13:40:00",0.96,17,0.0564705882352941,0.96,0.72,0.64,0.48,0.32,600.042252503404,2.88020281201634,649.775491423738,3.11892235883394,0,0,0.52,0.52,"2017-02-14 23:00:00",23.1,24.85,26.6,29.4666666666667,38.7,37.2857142857143,116,27.2714285714286,116,0.867456354729596,0.497513288907182,13.3,-6,1.181103,35.53113426,40.4338981466667,30,126,126,10
53,"MI-FM1-45",56,7.1,0.025,0.05,2.05,0.05,0.482,2.1,2,58.7,7.4,0.05,0.05,2.15,0.06,0.51,2.2,2.1,16802,NA,NA,"<",NA,NA,NA,NA,"2017-03-26 14:25:00","2017-03-26 22:03:00","2017-03-26 11:30:00","2017-03-27 03:45:00",0.71,16802,0,37,"2017-03-26 09:55:00","2017-03-26 22:20:00",0.35,12.4166666666667,0.0281879194630872,0.48,0.48,0.4,0.26,0.21,196.852121654062,0.51181551630056,216.638853312101,0.563261018611463,0,0,0,0,"2017-03-12 11:30:00",94.4,89.4,94.4,62.93,94.4,33.4328571428571,94.4,20.655,94.4,0.995918996147179,0.0902516100310457,13.9,3.3,0,36.929166665,41.117763025,30,152,152,10
54,"MI-FM1-46",64,6.5,0.025,0.02,1.14,0.03,0.242,1.2,1.1,603.2,61.3,0.47,0.19,10.74,0.27,2.28,11.22,10.56,150974,NA,NA,"<",NA,NA,NA,NA,"2017-03-30 12:02:00","2017-03-31 13:21:00","2017-03-30 08:15:00","2017-03-31 23:15:00",2.43,150974,0,38,"2017-03-30 04:50:00","2017-03-30 23:50:00",1.12,19,0.0589473684210526,0.48,0.42,0.36,0.26,0.24,579.951423487603,1.50787370106777,677.686727204731,1.7619854907323,0,0,0.35,0.35,"2017-03-16 08:15:00",147,88.25,147,72.7666666666667,147,69.1842857142857,147,39.5971428571429,147,0.999768501979891,0.021516097436229,4.4,1.7,0,36.15190972,41.63015972,30,156,156,10
55,"MI-FM1-47",147,4.7,0.025,0.03,1.82,0.03,0.413,1.9,1.8,295.7,9.5,0.1,0.06,3.66,0.05,0.83,3.76,3.6,32221,NA,NA,"<",NA,NA,NA,NA,"2017-04-03 22:54:00","2017-04-04 15:46:00","2017-04-03 21:30:00","2017-04-04 20:30:00",1.34,32221,0,39,"2017-04-03 18:10:00","2017-04-03 22:50:00",0.57,4.66666666666667,0.122142857142857,0.84,0.66,0.48,0.32,0.24,329.445627332547,1.05422600746415,375.383048858805,1.20122575634818,0,0,1.12,1.47,"2017-03-20 21:30:00",40.4,45.05,49.7,56.4666666666667,79.3,78.3857142857143,161,60.4664285714286,161,0.997917160865393,-0.0645084494493103,13.3,6.1,0,35.371527775,44.945654515,30,160,160,10
56,"MI-FM1-48",80,4.5,0.4,0.03,1.09,0.03,0.267,1.5,1.1,4810.4,270.6,24.05,1.8,65.54,2.04,16.05,89.59,63.74,963189,NA,NA,NA,NA,NA,NA,NA,"2017-04-06 00:53:00","2017-04-07 22:17:00","2017-04-05 18:25:00","2017-04-09 00:00:00",6.85,963189,0,40,"2017-04-05 16:00:00","2017-04-07 13:20:00",2.44,45.3333333333333,0.0538235294117647,0.48,0.42,0.36,0.3,0.26,1229.34872334979,3.68804617004937,1436.73624209824,4.31020872629471,0,0.57,1.69,2.04,"2017-03-22 18:25:00",81.7,108.35,135,85.7,135,99.1571428571429,161,74.2857142857143,161,0.99665890175417,-0.0816763953304196,23.9,-2.1,0,37.39753472,42.79085382,30,162,162,10
57,"MI-FM1-49",86,24.7,0.3,0.64,2.79,1.17,1.44,3.1,2.2,615.2,176.7,2.15,4.58,19.96,8.37,10.3,22.1,15.38,114583,NA,NA,NA,NA,NA,NA,NA,"2017-05-01 00:42:00","2017-05-01 21:00:00","2017-04-30 23:15:00","2017-05-02 03:00:00",2.93,114583,0,41,"2017-04-30 23:15:00","2017-05-01 17:30:00",0.5,18.25,0.0273972602739726,3,1.98,1.36,0.76,0.39,422.568147688676,3.21151792243394,412.60476026149,3.13579617798733,0,0,0,0,"2017-04-16 23:15:00",17.7,12.1,17.7,10.6133333333333,17.7,10.1442857142857,17.7,12.8364285714286,24.6,0.863142128049913,-0.504961054721518,20,4.4,0,30.34809028,52.7431875,30,187,187,10
58,"MI-FM1-50",59,56,0.2,0.06,1.38,0.5,0.733,1.6,1.3,32.4,30.8,0.11,0.03,0.76,0.28,0.4,0.87,0.73,8804,NA,NA,NA,NA,NA,NA,NA,"2017-05-04 17:53:00","2017-05-05 02:01:00","2017-05-04 17:30:00","2017-05-05 04:30:00",0.45,8804,0,42,"2017-05-04 09:35:00","2017-05-04 20:45:00",0.52,11.1666666666667,0.0465671641791045,0.12,0.12,0.12,0.12,0.1,212.549261759393,0.255059114111272,261.653460396784,0.313984152476141,0,0,0.5,0.5,"2017-04-20 17:30:00",40.1,38.2,40.1,48.5,69.1,45.0485714285714,138,29.2221428571429,138,0.835925479418637,-0.548842958284719,10.6,5.6,0,36.350086805,51.575453125,30,191,191,10
