"stormnum","rain_startdate","rain_enddate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","unique_storm_number"
27,2016-04-10 16:55:00,2016-04-11 02:55:00,0.77,10,0.077,0.36,0.3,0.28,0.26,0.21,402.632550438398,1.04684463113983,480.187565959243,1.24848767149403,0,0,0,2.02,37
28,2016-11-29 04:45:00,2016-11-29 04:46:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
29,2016-12-26 10:55:00,2016-12-26 13:45:00,0.03,2.83333333333333,0.0105882352941176,0.12,0.06,0.04,0.02,0.01,11.2132886319442,0.00224265772638884,10.2107332866247,0.00204214665732495,0,0,0,0,39
30,2017-01-02 19:10:00,2017-01-03 18:00:00,0.72,22.8333333333333,0.0315328467153285,0.36,0.3,0.24,0.2,0.16,361.966208308588,0.723932416617175,420.133335944163,0.840266671888325,0,0,0,0.03,40
31,2017-01-10 17:45:00,2017-01-10 21:00:00,0.11,3.25,0.0338461538461538,0.12,0.12,0.12,0.1,0.07,46.0669630885616,0.0460669630885617,55.0196141043489,0.0550196141043489,0,0,0.03,0.72,41
32,2017-01-11 18:00:00,2017-01-12 02:45:00,0.75,8.75,0.0857142857142857,0.84,0.66,0.56,0.42,0.3,460.275339290747,1.93315642502114,506.955645035367,2.12921370914854,0.09,0.11,0.11,0.83,42
33,2017-02-07 23:00:00,2017-02-07 23:01:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
34,2017-02-12 13:45:00,2017-02-12 13:46:00,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
35,2017-02-24 19:30:00,2017-02-24 23:10:00,0.52,3.66666666666667,0.141818181818182,1.08,0.78,0.64,0.36,0.29,343.350014985109,1.23606005394639,368.415687527034,1.32629647509732,0,0,0,0,49
36,2017-02-28 20:40:00,2017-03-01 13:40:00,0.96,17,0.0564705882352941,0.96,0.72,0.64,0.48,0.32,600.042252503404,2.88020281201634,649.775491423738,3.11892235883394,0,0,0.52,0.52,50
37,2017-03-26 09:55:00,2017-03-26 22:20:00,0.35,12.4166666666667,0.0281879194630872,0.48,0.48,0.4,0.26,0.21,196.852121654062,0.51181551630056,216.638853312101,0.563261018611463,0,0,0,0,53
38,2017-03-30 04:50:00,2017-03-30 23:50:00,1.12,19,0.0589473684210526,0.48,0.42,0.36,0.26,0.24,579.951423487603,1.50787370106777,677.686727204731,1.7619854907323,0,0,0.35,0.35,54
39,2017-04-03 18:10:00,2017-04-03 22:50:00,0.57,4.66666666666667,0.122142857142857,0.84,0.66,0.48,0.32,0.24,329.445627332547,1.05422600746415,375.383048858805,1.20122575634818,0,0,1.12,1.47,55
40,2017-04-05 16:00:00,2017-04-07 13:20:00,2.44,45.3333333333333,0.0538235294117647,0.48,0.42,0.36,0.3,0.26,1229.34872334979,3.68804617004937,1436.73624209824,4.31020872629471,0,0.57,1.69,2.04,56
41,2017-04-30 23:15:00,2017-05-01 17:30:00,0.5,18.25,0.0273972602739726,3,1.98,1.36,0.76,0.39,422.568147688676,3.21151792243394,412.60476026149,3.13579617798733,0,0,0,0,57
42,2017-05-04 09:35:00,2017-05-04 20:45:00,0.52,11.1666666666667,0.0465671641791045,0.12,0.12,0.12,0.12,0.1,212.549261759393,0.255059114111272,261.653460396784,0.313984152476141,0,0,0.5,0.5,58
